total_income,essentials_percentage,savings_percentage,investments_percentage,discretionary_percentage,risk_tolerance,financial_status
1415,32.57,16.67,16.62,34.15,Low,stable
1026,55.71,10.0,6.64,27.65,Medium,stable
1676,53.51,18.95,17.47,10.06,Medium,stable
1233,65.83,11.63,11.2,11.34,Low,growth
705,56.13,5.92,11.86,26.09,Low,stable
954,43.96,25.38,25.55,5.11,High,stable
1796,68.65,8.21,29.67,0.0,Medium,stable
1759,62.06,14.2,16.6,7.14,Medium,stable
1020,55.22,16.93,13.04,14.81,Low,stable
1516,41.72,15.81,28.29,14.18,Medium,strain
1455,44.94,23.14,17.51,14.41,Medium,stable
1225,56.8,19.92,23.26,0.02,Medium,strain
1513,32.88,12.38,15.34,39.39,High,growth
1000,40.27,6.29,10.06,43.38,Medium,growth
616,58.56,24.19,21.37,0.0,Low,growth
885,49.2,13.81,21.62,15.37,Medium,growth
1867,46.1,27.24,16.5,10.16,Medium,growth
1083,36.06,14.88,11.75,37.32,High,stable
894,47.67,22.94,25.8,3.59,Medium,stable
1587,60.83,28.49,11.88,0.0,High,growth
1220,40.56,21.28,21.48,16.69,High,stable
571,30.22,15.34,14.6,39.85,High,strain
773,56.74,19.18,16.81,7.26,Medium,strain
1843,68.91,18.59,10.29,2.22,Low,stable
837,54.27,19.62,21.24,4.87,Low,growth
1889,34.8,8.67,10.65,45.89,Medium,growth
1106,42.83,22.46,17.14,17.57,High,strain
665,64.71,8.63,13.21,13.46,Low,stable
510,39.3,5.37,29.09,26.24,Medium,strain
1824,54.31,20.62,29.56,0.0,Low,stable
1228,46.11,7.92,23.84,22.13,Medium,growth
1300,38.31,24.26,29.6,7.83,High,strain
601,62.54,26.65,7.84,2.98,Low,stable
1948,59.71,28.62,29.81,0.0,Medium,growth
1915,56.46,21.61,7.59,14.34,Medium,stable
1278,39.45,17.05,15.39,28.11,Low,growth
713,33.91,13.81,10.97,41.31,Medium,stable
1611,53.05,17.27,28.85,0.83,Low,strain
900,52.15,9.76,20.89,17.2,Medium,stable
1087,37.54,13.71,19.93,28.83,Low,strain
1388,32.25,22.95,29.94,14.87,High,strain
1569,33.23,10.44,20.31,36.03,Low,strain
1986,69.71,11.6,21.15,0.0,Medium,growth
1091,61.34,23.73,6.12,8.8,High,strain
1833,66.88,9.45,26.48,0.0,High,strain
1609,37.8,11.15,29.25,21.8,Low,strain
591,68.42,5.44,29.01,0.0,Low,growth
1172,35.71,23.0,10.53,30.76,Low,stable
1213,50.36,20.45,10.65,18.54,High,growth
1435,63.19,22.36,14.15,0.3,High,growth
741,43.99,10.36,12.76,32.89,Low,stable
501,46.99,22.18,12.64,18.18,Medium,stable
724,35.13,19.91,20.13,24.83,High,strain
1300,34.92,14.15,25.14,25.79,Low,strain
1088,54.78,15.95,28.42,0.85,Medium,stable
615,57.02,19.2,6.7,17.08,Low,stable
1417,61.09,17.33,11.95,9.62,High,growth
1626,52.27,21.05,11.38,15.31,High,growth
693,55.83,9.52,13.94,20.71,Low,growth
1689,30.54,18.52,15.61,35.33,Medium,stable
1370,36.49,16.26,14.73,32.53,High,strain
589,69.4,16.53,28.8,0.0,Low,growth
621,33.04,16.73,15.93,34.3,Low,growth
642,57.15,27.04,18.79,0.0,Medium,stable
1493,37.04,25.47,23.72,13.78,Medium,growth
605,58.67,20.74,23.13,0.0,High,stable
1386,58.24,22.91,19.57,0.0,Medium,strain
927,39.37,6.07,26.52,28.04,Medium,growth
1828,40.79,23.6,20.6,15.01,High,growth
816,56.19,17.15,26.87,0.0,Low,growth
1134,45.6,12.94,12.57,28.88,High,stable
508,37.78,8.49,8.3,45.42,High,stable
1273,59.27,6.88,25.49,8.36,Medium,strain
1596,36.17,6.12,14.56,43.15,Medium,stable
1882,64.23,9.04,21.28,5.45,Low,growth
722,50.59,5.75,23.43,20.23,Medium,growth
1939,34.23,23.32,13.17,29.29,Low,stable
1052,57.76,11.22,17.63,13.39,Low,strain
1893,50.77,14.22,27.37,7.64,Low,stable
1215,41.92,25.57,26.99,5.51,High,stable
1787,46.9,7.87,23.73,21.5,Medium,growth
1841,41.93,25.89,24.07,8.11,Medium,growth
1607,40.52,20.99,27.44,11.05,Low,growth
1841,36.54,13.55,23.41,26.5,Medium,stable
610,44.51,7.95,13.49,34.05,Low,stable
750,40.04,7.29,8.02,44.65,Medium,strain
882,57.34,13.39,15.55,13.73,High,growth
506,57.36,8.51,7.18,26.95,Medium,strain
958,50.07,11.69,7.89,30.34,Low,growth
1607,61.12,6.32,28.75,3.8,High,strain
707,63.65,19.88,21.9,0.0,Medium,growth
1399,53.19,8.63,26.29,11.89,High,stable
1913,54.76,23.92,21.07,0.25,Low,growth
1837,41.32,10.45,15.46,32.77,Low,strain
521,65.79,24.95,5.63,3.63,Medium,strain
909,30.97,9.75,28.9,30.39,Low,growth
1394,43.94,23.03,6.77,26.25,Medium,stable
1014,58.87,13.33,20.25,7.55,Low,growth
1650,33.2,19.58,7.56,39.66,Low,stable
1308,37.33,5.97,12.1,44.6,Low,growth
1373,53.57,17.38,9.65,19.4,Medium,stable
513,52.4,8.72,18.84,20.04,Medium,growth
1470,59.56,17.16,27.18,0.0,Medium,growth
1477,62.5,8.53,20.89,8.07,Medium,stable
1513,35.14,15.93,21.6,27.32,Low,stable
1535,30.74,7.77,27.72,33.78,High,growth
586,57.59,10.5,23.74,8.18,Medium,strain
1408,42.06,19.88,26.65,11.42,Low,stable
1824,55.04,29.42,15.41,0.13,Low,strain
1766,36.02,16.23,26.63,21.11,Medium,strain
621,48.76,22.18,21.15,7.91,Medium,strain
1670,50.18,18.49,8.39,22.95,Low,strain
1249,53.4,17.46,5.97,23.17,Medium,growth
1879,50.53,6.62,11.1,31.75,Medium,stable
1184,49.83,8.61,14.46,27.11,High,growth
808,43.31,27.08,25.94,3.67,High,growth
1194,32.85,15.25,23.53,28.37,Medium,growth
787,33.58,20.36,28.88,17.18,High,growth
806,47.35,18.21,18.98,15.46,High,growth
1413,44.23,14.47,23.69,17.6,Medium,stable
1161,50.65,14.7,11.88,22.78,Low,growth
1048,42.19,18.89,21.99,16.93,Low,growth
1875,57.52,8.53,22.65,11.3,Low,growth
811,64.56,14.68,26.21,0.0,Low,strain
1372,41.95,16.17,18.41,23.46,High,growth
1582,37.72,29.63,21.23,11.43,High,stable
1423,34.65,13.79,10.08,41.49,Medium,stable
1254,54.65,21.11,23.42,0.82,Medium,stable
534,47.75,8.44,25.96,17.85,Low,strain
944,37.52,6.64,19.84,36.0,Low,stable
592,56.13,26.79,7.89,9.19,Medium,strain
1730,35.94,23.27,12.82,27.97,Medium,stable
852,52.17,12.94,16.89,18.0,Low,strain
1402,51.09,17.61,21.93,9.37,High,stable
1855,59.37,8.39,13.01,19.23,High,growth
1361,32.2,22.68,26.01,19.11,High,stable
658,65.51,6.76,14.29,13.43,High,stable
1456,58.12,23.93,6.07,11.88,High,stable
523,38.65,18.67,24.85,17.83,Medium,growth
903,37.34,11.97,21.11,29.59,Medium,strain
1304,47.27,26.56,25.05,1.12,Low,strain
1015,62.7,29.65,13.72,0.0,Medium,growth
1231,63.72,11.36,5.44,19.48,Medium,growth
1887,50.82,25.16,6.84,17.18,Medium,strain
1905,64.43,23.75,7.8,4.02,Medium,strain
1031,30.22,23.68,25.13,20.97,Low,strain
1455,31.41,28.93,12.54,27.13,Medium,strain
2152,66.47,17.17,29.95,0.0,Medium,strain
3586,61.01,21.85,23.96,0.0,Low,growth
3713,48.03,25.6,20.03,6.35,Medium,strain
2947,60.14,16.99,29.59,0.0,Low,strain
2608,68.23,17.04,12.91,1.83,High,stable
3641,60.88,12.97,9.14,17.01,High,growth
2420,63.69,24.52,23.43,0.0,Medium,growth
3274,60.42,22.15,11.95,5.47,Medium,strain
3141,36.73,16.28,29.03,17.97,Medium,stable
2866,63.34,15.48,29.7,0.0,Medium,stable
3536,37.8,6.81,28.16,27.22,High,strain
3764,65.7,5.16,28.62,0.51,High,stable
2578,48.35,18.22,20.39,13.04,Medium,strain
2335,57.08,15.44,22.3,5.18,Low,growth
3442,49.89,24.9,7.36,17.85,Low,stable
2932,33.76,18.57,24.08,23.6,High,strain
3798,41.63,28.42,10.05,19.9,Low,strain
2295,69.35,9.9,26.01,0.0,Medium,strain
3962,68.43,29.75,29.04,0.0,Medium,growth
2755,42.82,12.45,10.31,34.42,Medium,stable
3395,69.85,21.06,6.95,2.14,Medium,growth
2186,63.82,17.55,17.1,1.53,Medium,growth
3270,54.44,13.99,24.79,6.78,Low,stable
2637,31.6,8.48,24.27,35.65,Low,growth
3292,66.06,8.37,22.42,3.15,High,strain
3667,52.3,22.79,25.52,0.0,High,stable
3261,64.74,14.44,9.37,11.45,Low,growth
2530,63.38,29.03,21.3,0.0,Low,stable
3576,63.32,13.14,20.14,3.4,High,growth
2021,57.93,29.59,8.84,3.65,Medium,strain
2911,41.66,10.14,15.36,32.85,High,growth
3761,43.45,7.57,26.31,22.67,High,stable
2867,42.34,12.81,29.3,15.55,Low,growth
2794,30.8,27.14,21.64,20.42,High,strain
3544,53.3,18.05,28.05,0.6,High,strain
2100,57.95,8.39,8.3,25.35,Low,strain
2752,64.15,10.06,29.38,0.0,Medium,growth
2478,35.61,12.78,5.84,45.77,Medium,stable
3623,51.77,19.75,18.18,10.3,Medium,growth
3322,30.32,13.31,12.28,44.09,Low,growth
2940,33.8,23.68,25.35,17.17,High,growth
2526,32.17,20.41,10.44,36.99,Medium,stable
2334,59.02,26.85,5.29,8.85,High,strain
2002,33.24,17.52,15.37,33.87,Low,strain
2375,58.66,13.28,6.6,21.46,Medium,strain
2293,39.98,29.91,12.25,17.86,Medium,stable
2837,65.11,13.89,21.09,0.0,High,growth
3958,62.53,15.72,12.37,9.39,Medium,growth
3005,68.31,25.23,11.14,0.0,Low,growth
2553,65.35,7.22,8.89,18.55,High,stable
2318,67.33,14.66,8.38,9.63,High,growth
3526,64.35,7.14,18.15,10.36,Medium,stable
3852,57.74,8.48,22.04,11.74,Medium,strain
2381,36.81,5.12,16.32,41.76,Medium,strain
3647,40.87,5.24,8.09,45.8,Medium,stable
2014,38.51,14.51,21.19,25.79,High,strain
2504,54.14,25.23,18.93,1.7,High,stable
2231,50.14,19.68,14.53,15.65,Medium,growth
3108,64.68,20.87,13.25,1.19,High,strain
2130,68.11,17.98,9.58,4.33,Low,strain
3767,46.19,25.49,8.66,19.65,High,growth
2838,50.25,27.01,13.47,9.27,Low,growth
3169,68.86,26.24,6.04,0.0,Low,stable
2891,41.05,25.3,15.92,17.73,Low,strain
3881,61.7,9.57,20.04,8.7,Medium,growth
2028,39.01,19.85,28.54,12.6,High,strain
2066,57.26,19.55,20.65,2.54,Low,strain
3187,40.14,18.2,20.6,21.05,Medium,strain
3253,65.35,17.02,14.36,3.27,High,strain
2261,52.46,7.23,8.33,31.98,High,stable
3473,37.44,7.55,16.17,38.84,Medium,growth
3448,38.97,27.56,19.97,13.5,High,strain
2460,49.75,20.75,23.1,6.39,Medium,growth
3976,68.46,11.56,25.65,0.0,Medium,growth
3700,60.79,11.98,11.4,15.83,Medium,stable
2301,49.53,20.25,11.03,19.18,High,stable
2919,43.51,15.17,19.13,22.19,Medium,strain
3327,51.97,16.03,19.15,12.85,Medium,strain
2287,59.93,6.52,10.45,23.1,High,stable
3419,61.36,8.47,19.69,10.49,Low,growth
3034,42.98,14.83,13.65,28.53,Medium,growth
3731,58.85,22.49,20.98,0.0,Medium,stable
2630,56.31,6.2,12.28,25.21,Low,strain
2270,68.36,13.36,19.81,0.0,High,strain
2592,67.24,22.38,24.21,0.0,High,strain
3994,61.58,24.8,29.5,0.0,High,stable
3629,58.94,9.76,27.78,3.53,Medium,stable
3802,40.96,23.29,17.59,18.16,Low,growth
2844,63.84,28.89,17.21,0.0,High,stable
2862,47.1,27.67,15.94,9.29,Low,strain
3385,40.89,24.73,5.69,28.68,High,growth
3281,45.37,22.81,9.15,22.68,Medium,strain
2133,63.44,10.88,6.48,19.2,High,strain
3300,35.95,20.85,22.41,20.8,Low,growth
3800,48.25,21.08,15.33,15.34,Low,strain
3707,49.69,15.17,6.59,28.54,Low,growth
2972,31.47,17.33,22.26,28.95,Medium,strain
2513,37.83,22.35,21.11,18.71,High,strain
2313,63.07,28.8,23.0,0.0,Medium,growth
2576,63.23,12.38,20.0,4.39,Medium,strain
2886,41.7,11.16,9.04,38.11,Low,strain
3308,65.0,20.05,6.53,8.42,Low,growth
3145,60.87,8.27,25.43,5.43,Medium,growth
3131,46.72,19.56,10.4,23.33,Medium,growth
3957,59.94,7.22,18.56,14.28,High,stable
2687,68.45,17.26,17.13,0.0,Low,strain
3228,48.36,20.51,28.03,3.1,Low,growth
2165,39.54,6.75,18.81,34.9,Low,strain
2305,67.67,10.17,19.5,2.65,High,growth
3521,54.15,13.38,12.99,19.48,High,strain
3656,34.21,14.21,28.97,22.61,Low,strain
3580,52.91,21.9,20.31,4.88,Low,growth
3848,50.02,18.23,5.12,26.63,Medium,growth
2156,64.22,14.55,18.9,2.32,Medium,stable
3391,51.23,16.27,14.1,18.41,High,growth
3743,40.21,5.32,5.8,48.66,Low,growth
3926,57.03,24.26,15.79,2.92,Medium,growth
2620,51.7,6.03,24.34,17.93,Medium,stable
3275,39.32,25.73,17.59,17.35,Low,strain
2957,52.95,18.52,20.99,7.54,Low,stable
3940,62.86,18.2,20.99,0.0,Medium,strain
3906,31.14,22.61,21.78,24.47,Low,growth
2334,55.23,26.49,14.69,3.59,Low,growth
3666,43.98,28.57,14.25,13.2,High,growth
2969,41.71,18.58,5.11,34.59,Medium,stable
2511,45.7,8.77,8.86,36.67,Medium,stable
3317,43.68,26.97,28.77,0.58,High,growth
3044,63.29,6.02,26.06,4.63,High,stable
2282,40.99,25.18,11.88,21.95,Medium,growth
2797,59.33,22.01,15.03,3.63,Medium,stable
3025,33.76,27.62,28.5,10.12,Low,growth
2119,68.06,27.44,11.26,0.0,Low,stable
3059,54.89,6.33,18.31,20.47,Medium,strain
2198,58.27,20.24,5.55,15.94,Low,growth
2485,41.92,8.12,20.49,29.47,Low,stable
3781,46.48,6.96,28.25,18.3,Low,stable
3083,38.95,16.21,27.12,17.72,High,growth
2837,67.3,7.44,17.55,7.71,Medium,stable
3185,49.52,23.2,21.24,6.04,Medium,strain
3009,55.22,29.22,19.24,0.0,Medium,strain
2691,59.37,19.24,6.67,14.72,Low,stable
3230,44.84,10.88,8.97,35.31,Low,growth
3036,58.8,26.08,29.1,0.0,High,stable
2490,57.04,26.33,11.4,5.23,High,stable
2276,58.23,23.32,14.61,3.84,Medium,strain
2693,49.57,20.38,17.72,12.33,High,stable
2242,45.32,26.69,29.48,0.0,High,growth
3240,38.88,9.08,22.25,29.78,Low,strain
3275,62.99,28.29,20.74,0.0,Medium,stable
3835,54.33,28.68,18.11,0.0,Medium,growth
2126,47.77,26.8,22.52,2.91,High,strain
2217,67.76,11.27,21.6,0.0,Low,growth
3330,31.91,26.45,27.57,14.06,High,growth
3821,64.01,17.44,18.55,0.01,High,growth
3209,69.9,19.87,15.54,0.0,Medium,stable
3063,65.48,26.02,25.18,0.0,Low,strain
3247,62.42,5.74,24.99,6.85,High,stable
3208,44.97,14.07,9.25,31.71,High,strain
2495,39.25,25.39,10.92,24.44,Low,growth
2427,59.39,25.35,28.97,0.0,High,growth
3202,42.18,26.22,16.1,15.5,Medium,stable
2919,37.04,9.23,17.99,35.74,High,growth
3452,61.46,22.65,12.75,3.14,Medium,growth
3318,42.5,8.66,17.03,31.81,Medium,growth
3876,66.58,24.63,23.58,0.0,Medium,strain
2151,63.63,11.13,17.06,8.19,Medium,strain
2384,63.91,23.45,12.87,0.0,Medium,stable
3662,60.86,16.38,7.4,15.36,Medium,strain
3837,65.24,29.66,28.21,0.0,High,growth
2308,62.23,19.5,26.79,0.0,Low,growth
3360,54.1,20.81,24.78,0.3,High,growth
3970,41.83,14.2,22.35,21.61,Low,stable
2746,65.53,23.36,17.89,0.0,High,growth
2892,63.62,17.37,27.43,0.0,Low,growth
2375,48.92,5.45,24.79,20.84,High,stable
3032,31.56,20.21,25.4,22.82,Medium,strain
3365,55.54,25.76,12.74,5.96,Low,strain
2129,32.02,10.92,15.59,41.47,High,strain
3015,67.05,10.53,22.67,0.0,Medium,stable
3800,68.47,20.22,14.28,0.0,High,stable
2669,37.58,25.45,17.35,19.62,Low,growth
3376,57.06,11.24,21.16,10.54,High,growth
3382,33.69,28.31,15.94,22.06,High,stable
2517,59.18,28.18,24.83,0.0,Medium,stable
3519,43.89,10.01,7.91,38.19,Medium,growth
2086,57.24,11.59,22.95,8.21,Medium,growth
3199,44.92,22.51,8.63,23.94,Low,growth
3826,35.82,28.79,28.45,6.94,Medium,strain
3217,46.24,22.75,12.85,18.16,Low,strain
2311,34.51,16.12,24.89,24.48,Medium,growth
3143,53.08,9.23,18.04,19.66,Medium,stable
3242,31.64,16.53,7.28,44.56,Medium,strain
2427,51.09,20.17,19.56,9.17,Medium,growth
3994,65.45,13.27,27.8,0.0,Low,strain
3438,63.51,17.76,8.93,9.8,Low,stable
2114,65.31,8.26,13.03,13.4,Low,stable
3169,66.88,16.3,15.98,0.83,Medium,stable
3562,34.18,7.27,11.88,46.67,Medium,growth
3672,35.15,6.23,28.59,30.03,Medium,growth
2303,52.28,26.43,14.44,6.85,Low,strain
2744,65.76,10.13,21.45,2.66,High,growth
3905,68.97,19.38,10.6,1.05,High,growth
2588,31.85,8.72,10.49,48.93,High,growth
2987,44.23,11.56,9.4,34.81,Low,strain
3864,38.52,14.03,15.87,31.58,High,growth
2345,60.24,8.59,18.32,12.85,Low,stable
2814,55.61,6.15,5.27,32.97,Low,growth
3988,34.8,26.93,25.82,12.45,Medium,growth
2801,49.34,5.3,17.82,27.54,Medium,stable
3025,57.42,6.53,8.93,27.12,Low,strain
3171,61.16,25.13,6.68,7.03,High,growth
3311,30.8,12.05,6.58,50.57,Low,growth
4000,65.62,23.07,11.44,0.0,Low,growth
3678,52.77,8.66,17.48,21.09,High,growth
3077,62.48,10.93,26.51,0.09,Medium,stable
3328,62.32,19.32,27.57,0.0,Low,growth
3093,37.59,29.72,25.81,6.88,Medium,strain
2361,34.41,6.84,13.21,45.54,Medium,stable
3626,58.85,15.01,12.66,13.47,Medium,stable
3982,36.26,6.08,29.69,27.98,Low,strain
3244,64.0,9.98,22.03,3.99,High,growth
3986,59.05,27.69,12.62,0.64,High,growth
3010,63.67,7.41,13.23,15.69,Medium,growth
2704,41.96,26.42,15.87,15.75,Medium,strain
3990,42.66,9.45,20.55,27.35,High,stable
2575,56.85,26.54,27.45,0.0,Medium,growth
3609,31.26,18.45,9.96,40.33,High,strain
3185,59.06,26.96,7.11,6.87,High,strain
3705,63.43,8.79,15.14,12.63,Low,growth
3113,46.61,24.05,11.14,18.21,Medium,strain
2688,60.6,22.02,19.4,0.0,Medium,growth
2781,36.98,18.57,22.48,21.96,Low,growth
2585,42.89,25.26,12.77,19.08,High,growth
3781,68.97,21.21,22.14,0.0,Medium,stable
2589,69.45,26.93,13.58,0.0,Low,strain
3183,50.5,14.53,20.87,14.1,High,stable
2489,67.37,19.75,20.83,0.0,Low,growth
2971,50.91,26.77,11.95,10.37,Low,strain
3348,41.66,10.37,20.89,27.07,Low,growth
3634,40.68,17.14,14.52,27.66,Low,strain
3405,67.18,29.02,13.41,0.0,High,growth
3126,36.9,16.84,12.23,34.03,Low,strain
2494,53.19,11.32,13.64,21.85,High,growth
3668,52.22,13.78,24.67,9.33,Low,growth
3638,59.58,27.13,11.13,2.16,Low,stable
2019,49.97,28.87,22.05,0.0,Medium,stable
3478,40.89,28.75,27.52,2.84,Medium,strain
3506,36.78,22.47,13.76,26.99,Medium,strain
3618,54.83,17.74,5.74,21.69,Medium,stable
2397,58.76,9.57,5.62,26.06,Low,growth
3001,52.78,8.08,8.49,30.65,Low,growth
3303,59.53,6.49,7.75,26.22,High,strain
2851,35.66,5.44,23.7,35.19,Low,strain
3389,65.3,26.95,12.37,0.0,High,growth
3355,53.3,25.23,21.31,0.16,Low,stable
3665,35.07,19.2,6.06,39.67,Low,strain
3368,48.48,29.97,12.39,9.16,High,growth
2822,63.79,28.83,10.85,0.0,Medium,strain
2455,65.9,21.38,11.92,0.8,Low,stable
3625,40.59,16.61,9.77,33.03,Medium,strain
2725,58.45,8.8,20.45,12.3,High,growth
3679,34.0,17.89,21.57,26.54,Low,stable
3089,31.34,8.94,8.71,51.0,High,growth
3100,52.42,14.96,23.53,9.09,Low,stable
2711,57.79,28.57,11.25,2.39,High,growth
2143,61.83,13.55,12.07,12.55,High,strain
2917,43.61,8.82,25.72,21.85,Medium,stable
3939,30.26,19.56,27.53,22.65,Medium,stable
2828,49.18,20.06,25.62,5.14,Medium,stable
2605,30.63,9.85,8.69,50.83,Low,strain
3497,33.68,9.91,29.98,26.42,High,stable
3441,43.07,29.74,21.8,5.39,Medium,strain
2305,47.49,11.08,17.77,23.66,Low,strain
2736,41.18,25.95,28.87,4.0,Medium,stable
3521,53.27,16.76,25.43,4.53,Low,growth
2291,32.21,15.87,22.29,29.62,High,stable
3964,35.78,12.37,25.96,25.88,High,growth
2102,57.81,24.35,14.64,3.21,High,growth
3291,35.69,27.02,22.11,15.19,Low,stable
2867,55.59,11.53,9.76,23.12,High,stable
2968,32.19,7.38,29.7,30.74,Low,growth
3646,46.3,8.42,19.72,25.56,Low,stable
2974,37.1,24.82,25.36,12.73,Low,stable
2842,34.39,15.9,15.18,34.54,High,strain
2962,52.68,8.3,23.96,15.06,High,growth
2942,67.13,13.51,14.68,4.67,High,strain
3801,32.19,17.86,19.75,30.2,Low,stable
3027,46.86,26.3,24.45,2.38,High,stable
2085,58.3,21.04,7.91,12.74,Low,strain
3818,48.51,9.4,13.92,28.17,High,strain
2328,62.26,8.97,18.62,10.15,Low,stable
2816,37.19,15.31,13.35,34.16,Medium,growth
3474,68.38,6.88,12.73,12.01,High,strain
2454,45.41,23.89,12.04,18.66,High,growth
3948,43.66,15.04,10.69,30.61,Low,stable
2629,64.98,13.58,26.22,0.0,Low,growth
3245,52.55,17.73,28.09,1.63,Low,growth
3178,50.66,22.72,22.5,4.11,Medium,stable
2665,59.08,19.23,5.75,15.94,High,stable
2012,53.19,25.06,24.66,0.0,Low,stable
3157,36.5,20.73,18.3,24.47,Medium,growth
2304,56.97,24.7,23.95,0.0,Medium,strain
3317,35.34,22.42,15.93,26.31,Low,stable
2975,62.23,9.83,6.03,21.91,High,stable
3324,69.59,6.31,22.04,2.06,Low,strain
3764,45.1,27.58,16.1,11.22,Low,stable
2783,47.79,28.64,26.85,0.0,Low,stable
2043,31.86,23.17,23.45,21.52,Medium,strain
2944,30.55,23.11,13.99,32.36,Medium,growth
2343,66.86,11.75,23.1,0.0,High,growth
3350,35.14,18.56,17.38,28.91,Medium,growth
3838,47.83,29.81,9.99,12.38,Low,stable
2498,62.61,26.4,15.5,0.0,Medium,strain
2364,65.57,12.61,10.56,11.25,High,growth
2891,50.78,12.53,5.12,31.57,Low,strain
2427,52.6,17.09,11.17,19.14,Low,growth
3005,56.79,15.11,10.24,17.86,Medium,growth
2021,68.46,14.28,5.11,12.16,Medium,stable
2407,54.11,20.67,24.6,0.62,High,growth
2619,52.38,5.29,6.92,35.41,Low,growth
3015,30.58,24.08,16.23,29.11,High,strain
2336,33.24,23.5,15.45,27.81,Medium,stable
3839,53.09,25.76,9.54,11.62,Low,stable
3141,67.45,26.04,29.17,0.0,Medium,growth
3148,64.67,19.16,20.09,0.0,Low,stable
2399,69.3,24.5,25.34,0.0,High,strain
2793,51.11,17.31,17.4,14.17,Low,stable
3828,61.52,28.79,23.07,0.0,Medium,growth
2715,63.62,9.77,29.24,0.0,Low,stable
2051,55.92,27.89,13.71,2.48,High,stable
3807,43.55,11.46,17.61,27.38,Medium,growth
2324,48.8,7.57,17.86,25.77,High,stable
2789,64.32,15.98,29.8,0.0,Low,stable
2141,41.94,20.37,10.83,26.86,Low,growth
2470,66.95,10.77,21.88,0.39,Low,growth
2787,39.19,18.89,8.46,33.46,Low,strain
3826,59.98,25.2,28.18,0.0,Medium,growth
3358,55.22,11.43,19.76,13.59,Low,growth
3917,59.98,19.51,26.49,0.0,Medium,stable
2964,47.49,13.48,27.38,11.64,Medium,growth
3008,67.31,18.24,18.93,0.0,Medium,stable
2373,55.3,21.67,22.05,0.98,Low,growth
3588,41.53,13.76,22.47,22.24,Low,strain
2494,55.54,29.86,16.51,0.0,High,strain
3563,41.47,19.09,15.87,23.56,Low,stable
3693,41.75,25.61,9.65,22.99,Low,stable
2751,45.98,23.13,14.6,16.29,Low,stable
3180,64.1,26.32,29.77,0.0,Medium,strain
2291,50.01,9.35,11.75,28.9,High,strain
3672,57.16,10.56,24.06,8.22,Low,growth
3168,45.68,17.19,6.48,30.65,High,growth
2106,40.54,26.31,16.69,16.46,Medium,stable
3444,68.19,9.94,6.46,15.41,High,strain
2670,54.14,29.28,16.89,0.0,High,growth
3682,67.36,8.19,5.69,18.76,High,strain
2002,38.14,9.38,20.33,32.15,High,strain
3969,35.88,9.18,19.66,35.28,High,stable
2589,64.23,19.65,24.95,0.0,Medium,strain
2644,57.24,27.94,19.58,0.0,Low,stable
2090,37.46,11.38,28.15,23.01,High,growth
3369,40.77,18.83,24.58,15.82,Medium,strain
2350,62.03,9.39,8.32,20.26,Medium,stable
3483,48.15,20.78,11.64,19.43,Low,strain
3287,56.82,8.08,5.66,29.44,Medium,strain
3375,42.73,17.28,14.65,25.33,Low,growth
3132,45.25,21.38,17.74,15.63,High,stable
3610,69.63,19.48,28.65,0.0,Medium,strain
3063,39.9,8.5,18.06,33.54,Medium,strain
2909,50.26,9.03,24.53,16.18,Medium,growth
2159,63.78,21.78,11.7,2.74,High,strain
3607,39.57,25.22,8.83,26.38,Low,stable
2959,46.61,27.7,25.27,0.42,Low,stable
2312,54.6,25.34,11.19,8.87,Medium,stable
3265,49.25,29.35,26.78,0.0,Medium,strain
3962,48.38,15.21,9.25,27.17,High,strain
2445,44.5,13.28,26.29,15.93,High,stable
2298,53.47,5.7,24.32,16.51,Low,strain
2952,54.97,16.25,20.28,8.5,Medium,growth
2036,56.13,21.28,26.26,0.0,Medium,stable
3108,32.81,25.39,13.27,28.53,Medium,growth
3476,55.24,11.69,9.15,23.92,Medium,growth
3910,68.13,17.84,8.93,5.1,High,strain
3799,51.64,21.55,11.76,15.05,High,strain
3846,58.61,18.79,16.16,6.44,Low,stable
3409,52.27,11.85,26.9,8.98,Medium,strain
3196,64.19,24.91,7.24,3.66,High,growth
3400,67.18,9.33,27.88,0.0,Medium,strain
3709,37.37,27.62,28.14,6.87,Low,stable
3386,47.47,28.81,23.18,0.53,Medium,strain
2559,45.7,14.14,27.51,12.66,High,growth
2891,46.21,14.4,24.25,15.14,High,growth
2141,35.02,23.58,18.21,23.19,Low,stable
2887,62.54,16.41,20.02,1.03,Low,stable
3942,31.43,5.72,20.71,42.15,Medium,strain
3142,51.13,28.0,8.17,12.7,Medium,strain
3301,56.48,15.77,9.83,17.93,High,stable
2726,38.3,10.09,18.08,33.53,High,growth
3244,66.23,18.89,7.88,6.99,High,strain
3929,63.54,10.47,29.12,0.0,Low,stable
3050,48.84,10.15,17.68,23.33,Low,stable
2521,46.45,18.64,14.5,20.41,Low,growth
3807,39.46,14.78,8.94,36.82,Medium,stable
2010,59.2,19.32,15.41,6.06,Low,strain
2984,35.27,29.92,12.56,22.25,Medium,strain
2378,57.21,26.48,7.2,9.12,Medium,stable
3657,63.7,5.19,29.18,1.93,Medium,stable
3661,39.14,6.26,11.62,42.97,Low,growth
2682,64.66,20.25,22.26,0.0,High,growth
2584,31.33,20.66,7.28,40.73,Low,stable
2152,66.51,26.95,27.83,0.0,Low,strain
2720,34.73,20.73,19.77,24.77,Low,growth
